,Time,PRICE,SIZE,BID_PRICE1,ASK_PRICE1,BID_SIZE1,ASK_SIZE1,Type
42,2023-03-16 10:00:41.721882,159.72,1,,,,,Deal
17394,2023-03-16 10:00:42.394871,,,159.72,159.77,212,172,Glass
43,2023-03-16 10:00:42.394871,159.77,1,,,,,Deal
17395,2023-03-16 10:00:43.015071,,,159.72,159.77,161,172,Glass
44,2023-03-16 10:00:43.015071,159.72,50,,,,,Deal
17396,2023-03-16 10:00:43.714680,,,159.72,159.77,159,172,Glass
45,2023-03-16 10:00:43.714680,159.72,1,,,,,Deal
17397,2023-03-16 10:00:44.557176,,,159.72,159.77,222,171,Glass
46,2023-03-16 10:00:44.854857,159.73,1,,,,,Deal
17398,2023-03-16 10:00:45.095312,,,159.73,159.77,274,170,Glass
47,2023-03-16 10:00:45.481637,159.75,1,,,,,Deal
17399,2023-03-16 10:00:45.627925,,,159.75,159.77,1224,102,Glass
48,2023-03-16 10:00:46.093407,159.77,12,,,,,Deal
17400,2023-03-16 10:00:46.226162,,,159.76,159.8,11,7,Glass
49,2023-03-16 10:00:47.155556,159.8,1,,,,,Deal
17401,2023-03-16 10:00:47.155556,,,159.77,159.8,1135,6,Glass
50,2023-03-16 10:00:48.633488,159.79,1,,,,,Deal
17402,2023-03-16 10:00:48.633488,,,159.79,159.8,49,5,Glass
51,2023-03-16 10:00:49.730208,159.79,1,,,,,Deal
17403,2023-03-16 10:00:49.730208,,,159.79,159.8,48,5,Glass
52,2023-03-16 10:00:50.662647,159.79,1,,,,,Deal
17404,2023-03-16 10:00:50.662647,,,159.79,159.8,47,3,Glass
53,2023-03-16 10:00:55.065090,159.79,37,,,,,Deal
17405,2023-03-16 10:00:55.065090,,,159.77,159.8,100,3,Glass
17406,2023-03-16 10:00:55.899263,,,159.7,159.78,401,322,Glass
54,2023-03-16 10:00:55.899263,159.71,150,,,,,Deal
17407,2023-03-16 10:00:58.441185,,,159.71,159.78,313,322,Glass
55,2023-03-16 10:00:58.441185,159.71,1,,,,,Deal
56,2023-03-16 10:00:59.510393,159.71,1,,,,,Deal
17408,2023-03-16 10:00:59.510393,,,159.71,159.78,312,321,Glass
17409,2023-03-16 10:01:00.268347,,,159.71,159.75,48,613,Glass
57,2023-03-16 10:01:00.318559,159.71,1,,,,,Deal
17410,2023-03-16 10:01:01.011606,,,159.71,159.74,46,222,Glass
58,2023-03-16 10:01:01.011606,159.71,1,,,,,Deal
17411,2023-03-16 10:01:01.556518,,,159.71,159.74,42,222,Glass
59,2023-03-16 10:01:01.556518,159.71,4,,,,,Deal
17412,2023-03-16 10:01:02.625366,,,159.7,159.74,1530,222,Glass
60,2023-03-16 10:01:02.625366,159.7,1,,,,,Deal
17413,2023-03-16 10:01:03.161011,,,159.7,159.74,1550,222,Glass
61,2023-03-16 10:01:03.161011,159.7,20,,,,,Deal
17414,2023-03-16 10:01:04.572866,,,159.7,159.74,1548,222,Glass
62,2023-03-16 10:01:04.572866,159.7,1,,,,,Deal
17415,2023-03-16 10:01:05.309214,,,159.7,159.74,1537,222,Glass
63,2023-03-16 10:01:05.309214,159.7,1,,,,,Deal
17416,2023-03-16 10:01:06.167243,,,159.71,159.74,5,222,Glass
64,2023-03-16 10:01:06.477036,159.71,1,,,,,Deal
17417,2023-03-16 10:01:06.787104,,,159.71,159.74,4,159,Glass
65,2023-03-16 10:01:07.583369,159.71,1,,,,,Deal
17418,2023-03-16 10:01:07.583369,,,159.71,159.74,3,159,Glass
17419,2023-03-16 10:01:08.195204,,,159.72,159.74,180,159,Glass
66,2023-03-16 10:01:08.733406,159.71,1,,,,,Deal
17420,2023-03-16 10:01:08.733406,,,159.71,159.76,52,222,Glass
67,2023-03-16 10:01:09.856939,159.7,1,,,,,Deal
17421,2023-03-16 10:01:09.856939,,,159.7,159.76,1647,222,Glass
68,2023-03-16 10:01:10.535911,159.7,1,,,,,Deal
17422,2023-03-16 10:01:10.535911,,,159.7,159.76,1646,222,Glass
17423,2023-03-16 10:01:11.072390,,,159.7,159.77,1646,1000,Glass
69,2023-03-16 10:01:11.401740,159.7,1,,,,,Deal
17424,2023-03-16 10:01:11.686491,,,159.7,159.76,1645,78,Glass
17425,2023-03-16 10:01:12.404165,,,159.7,159.76,1641,222,Glass
70,2023-03-16 10:01:12.404165,159.7,1,,,,,Deal
17426,2023-03-16 10:01:12.952517,,,159.7,159.77,1641,1000,Glass
17427,2023-03-16 10:01:15.250943,,,159.72,159.79,180,112,Glass
17428,2023-03-16 10:01:16.233412,,,159.72,159.79,180,112,Glass
17429,2023-03-16 10:01:17.790234,,,159.74,159.8,613,1027,Glass
17430,2023-03-16 10:01:19.371914,,,159.7,159.8,1201,1027,Glass
71,2023-03-16 10:01:19.596668,159.79,1,,,,,Deal
17431,2023-03-16 10:01:20.613715,,,159.71,159.79,665,111,Glass
17432,2023-03-16 10:01:22.043722,,,159.71,159.78,705,222,Glass
17433,2023-03-16 10:01:23.307314,,,159.72,159.78,140,194,Glass
72,2023-03-16 10:01:23.711741,159.78,50,,,,,Deal
17434,2023-03-16 10:01:24.479227,,,159.72,159.79,140,82,Glass
73,2023-03-16 10:01:24.479227,159.79,29,,,,,Deal
17435,2023-03-16 10:01:25.247153,,,159.73,159.78,20,82,Glass
74,2023-03-16 10:01:25.878928,159.73,1,,,,,Deal
17436,2023-03-16 10:01:25.878928,,,159.73,159.79,119,423,Glass
75,2023-03-16 10:01:26.527871,159.71,1,,,,,Deal
17437,2023-03-16 10:01:26.527871,,,159.71,159.78,339,113,Glass
76,2023-03-16 10:01:27.182179,159.78,1,,,,,Deal
17438,2023-03-16 10:01:27.182179,,,159.75,159.78,5,19,Glass
77,2023-03-16 10:01:27.687525,159.78,1,,,,,Deal
17439,2023-03-16 10:01:27.687525,,,159.76,159.78,77,18,Glass
17440,2023-03-16 10:01:29.517726,,,159.77,159.78,40,18,Glass
17441,2023-03-16 10:01:31.519296,,,159.77,159.78,117,17,Glass
78,2023-03-16 10:01:31.519296,159.78,1,,,,,Deal
17442,2023-03-16 10:01:32.515986,,,159.71,159.78,287,109,Glass
79,2023-03-16 10:01:32.515986,159.78,8,,,,,Deal
17443,2023-03-16 10:01:33.606061,,,159.71,159.78,509,109,Glass
17444,2023-03-16 10:01:34.456044,,,159.72,159.78,78,109,Glass
80,2023-03-16 10:01:34.787002,159.78,1,,,,,Deal
17445,2023-03-16 10:01:36.458181,,,159.72,159.78,38,108,Glass
81,2023-03-16 10:01:36.458181,159.78,1,,,,,Deal
17446,2023-03-16 10:01:37.455141,,,159.73,159.78,138,8,Glass
82,2023-03-16 10:01:39.522395,159.75,1,,,,,Deal
17447,2023-03-16 10:01:39.522395,,,159.72,159.78,38,8,Glass
17448,2023-03-16 10:01:40.389023,,,159.72,159.78,98,8,Glass
17449,2023-03-16 10:01:40.889159,,,159.72,159.78,108,8,Glass
17450,2023-03-16 10:01:41.419377,,,159.72,159.78,168,8,Glass
17451,2023-03-16 10:01:42.013195,,,159.72,159.78,178,7,Glass
83,2023-03-16 10:01:42.013195,159.78,1,,,,,Deal
17452,2023-03-16 10:01:43.461672,,,159.72,159.77,188,613,Glass
84,2023-03-16 10:01:43.847162,159.72,1,,,,,Deal
17453,2023-03-16 10:01:44.426189,,,159.72,159.77,127,100,Glass
17454,2023-03-16 10:01:44.955338,,,159.72,159.77,127,94,Glass
85,2023-03-16 10:01:44.955338,159.77,6,,,,,Deal
17455,2023-03-16 10:01:46.071789,,,159.72,159.77,103,94,Glass
86,2023-03-16 10:01:46.071789,159.72,18,,,,,Deal
17456,2023-03-16 10:01:50.166031,,,159.72,159.77,97,94,Glass
87,2023-03-16 10:01:50.166031,159.72,6,,,,,Deal
88,2023-03-16 10:01:51.075262,159.72,6,,,,,Deal
17457,2023-03-16 10:01:51.075262,,,159.72,159.77,92,32,Glass
17458,2023-03-16 10:01:52.277781,,,159.73,159.77,16,11,Glass
89,2023-03-16 10:01:52.277781,159.73,3,,,,,Deal
17459,2023-03-16 10:01:53.236250,,,159.72,159.77,52,11,Glass
90,2023-03-16 10:01:53.236250,159.73,16,,,,,Deal
91,2023-03-16 10:01:55.001742,159.72,2,,,,,Deal
17460,2023-03-16 10:01:55.001742,,,159.71,159.72,399,930,Glass
92,2023-03-16 10:01:55.885823,159.72,1,,,,,Deal
17461,2023-03-16 10:01:55.885823,,,159.71,159.72,399,928,Glass
93,2023-03-16 10:01:56.724882,159.72,80,,,,,Deal
17462,2023-03-16 10:01:56.724882,,,159.71,159.72,399,988,Glass
94,2023-03-16 10:01:58.476543,159.72,20,,,,,Deal
17463,2023-03-16 10:01:58.476543,,,159.71,159.72,399,787,Glass
17464,2023-03-16 10:01:59.146917,,,159.71,159.72,399,647,Glass
95,2023-03-16 10:02:00.776024,159.72,3,,,,,Deal
17465,2023-03-16 10:02:00.776024,,,159.71,159.72,399,684,Glass
17466,2023-03-16 10:02:01.474923,,,159.71,159.72,399,823,Glass
96,2023-03-16 10:02:01.474923,159.72,20,,,,,Deal
17467,2023-03-16 10:02:03.964430,,,159.71,159.72,399,721,Glass
17468,2023-03-16 10:02:04.997530,,,159.71,159.72,409,721,Glass
17469,2023-03-16 10:02:05.710661,,,159.71,159.72,409,691,Glass
97,2023-03-16 10:02:05.710661,159.72,30,,,,,Deal
17470,2023-03-16 10:02:06.602833,,,159.71,159.72,409,701,Glass
17471,2023-03-16 10:02:07.198401,,,159.71,159.72,429,691,Glass
98,2023-03-16 10:02:07.198401,159.72,10,,,,,Deal
99,2023-03-16 10:02:08.713618,159.71,10,,,,,Deal
17472,2023-03-16 10:02:08.713618,,,159.71,159.72,419,651,Glass
17473,2023-03-16 10:02:09.357624,,,159.68,159.7,403,861,Glass
100,2023-03-16 10:02:09.801492,159.68,1,,,,,Deal
17474,2023-03-16 10:02:09.915057,,,159.68,159.69,269,50,Glass
17475,2023-03-16 10:02:10.703404,,,159.6,159.61,384,122,Glass
101,2023-03-16 10:02:10.703404,159.61,1,,,,,Deal
102,2023-03-16 10:02:12.060351,159.61,10,,,,,Deal
17476,2023-03-16 10:02:12.060351,,,159.6,159.61,384,12,Glass
17477,2023-03-16 10:02:12.575612,,,159.6,159.61,384,2,Glass
103,2023-03-16 10:02:12.575612,159.61,10,,,,,Deal
17478,2023-03-16 10:02:14.402688,,,159.58,159.6,450,137,Glass
104,2023-03-16 10:02:15.242432,159.6,50,,,,,Deal
17479,2023-03-16 10:02:15.242432,,,159.58,159.6,450,87,Glass
105,2023-03-16 10:02:15.949423,159.58,60,,,,,Deal
17480,2023-03-16 10:02:15.949423,,,159.58,159.6,390,83,Glass
106,2023-03-16 10:02:16.682936,159.6,1,,,,,Deal
17481,2023-03-16 10:02:16.682936,,,159.58,159.6,298,82,Glass
17482,2023-03-16 10:02:17.465141,,,159.58,159.6,268,81,Glass
107,2023-03-16 10:02:17.465141,159.58,30,,,,,Deal
108,2023-03-16 10:02:17.971697,159.58,80,,,,,Deal
17483,2023-03-16 10:02:17.971697,,,159.58,159.6,220,81,Glass
17484,2023-03-16 10:02:19.007461,,,159.58,159.65,300,93,Glass
17485,2023-03-16 10:02:19.511038,,,159.6,159.64,3,10,Glass
109,2023-03-16 10:02:19.948099,159.58,19,,,,,Deal
17486,2023-03-16 10:02:20.139356,,,159.58,159.64,351,10,Glass
110,2023-03-16 10:02:20.465080,159.58,6,,,,,Deal
17487,2023-03-16 10:02:20.994449,,,159.58,159.64,349,10,Glass
111,2023-03-16 10:02:20.994449,159.58,1,,,,,Deal
17488,2023-03-16 10:02:23.050218,,,159.58,159.59,350,50,Glass
112,2023-03-16 10:02:23.367783,159.58,50,,,,,Deal
17489,2023-03-16 10:02:23.818349,,,159.57,159.59,429,50,Glass
113,2023-03-16 10:02:24.302782,159.58,40,,,,,Deal
17490,2023-03-16 10:02:24.970991,,,159.57,159.59,200,40,Glass
114,2023-03-16 10:02:24.970991,159.59,10,,,,,Deal
17491,2023-03-16 10:02:25.961768,,,159.57,159.59,188,40,Glass
115,2023-03-16 10:02:25.961768,159.57,12,,,,,Deal
17492,2023-03-16 10:02:26.670144,,,159.55,159.59,49,40,Glass
116,2023-03-16 10:02:26.670144,159.56,198,,,,,Deal
17493,2023-03-16 10:02:27.196145,,,159.54,159.59,300,311,Glass
117,2023-03-16 10:02:27.196145,159.59,1,,,,,Deal
17494,2023-03-16 10:02:27.696630,,,159.52,159.6,50,10,Glass
17495,2023-03-16 10:02:28.325055,,,159.52,159.56,350,50,Glass
118,2023-03-16 10:02:28.327140,159.52,50,,,,,Deal
17496,2023-03-16 10:02:29.716908,,,159.52,159.54,300,50,Glass
119,2023-03-16 10:02:30.024666,159.54,2,,,,,Deal
17497,2023-03-16 10:02:31.028864,,,159.51,159.54,566,48,Glass
120,2023-03-16 10:02:31.229478,159.54,20,,,,,Deal
17498,2023-03-16 10:02:31.530022,,,159.51,159.55,564,1200,Glass
17499,2023-03-16 10:02:32.127056,,,159.51,159.55,424,1090,Glass
121,2023-03-16 10:02:32.127056,159.51,140,,,,,Deal
17500,2023-03-16 10:02:32.926296,,,159.51,159.54,424,10,Glass
17501,2023-03-16 10:02:33.592250,,,159.51,159.53,424,50,Glass
122,2023-03-16 10:02:33.719432,159.51,18,,,,,Deal
17502,2023-03-16 10:02:34.273218,,,159.5,159.51,377,10,Glass
123,2023-03-16 10:02:34.611021,159.5,12,,,,,Deal
17503,2023-03-16 10:02:34.987609,,,159.5,159.51,172,70,Glass
17504,2023-03-16 10:02:36.052596,,,159.5,159.51,122,103,Glass
124,2023-03-16 10:02:36.052596,159.5,50,,,,,Deal
17505,2023-03-16 10:02:37.353880,,,159.5,159.51,132,213,Glass
125,2023-03-16 10:02:38.464156,159.5,57,,,,,Deal
17506,2023-03-16 10:02:38.464156,,,159.5,159.51,75,213,Glass
126,2023-03-16 10:02:39.599728,159.44,1,,,,,Deal
17507,2023-03-16 10:02:39.599728,,,159.44,159.45,439,530,Glass
17508,2023-03-16 10:02:40.258237,,,159.4,159.41,142,110,Glass
127,2023-03-16 10:02:40.258237,159.4,1,,,,,Deal
17509,2023-03-16 10:02:40.962031,,,159.37,159.38,491,60,Glass
128,2023-03-16 10:02:41.209136,159.37,2,,,,,Deal
17510,2023-03-16 10:02:41.479961,,,159.37,159.38,489,40,Glass
129,2023-03-16 10:02:41.959433,159.37,38,,,,,Deal
130,2023-03-16 10:02:42.635898,159.38,2,,,,,Deal
17511,2023-03-16 10:02:42.635898,,,159.37,159.38,405,38,Glass
131,2023-03-16 10:02:44.140633,159.38,8,,,,,Deal
17512,2023-03-16 10:02:44.140633,,,159.37,159.38,340,30,Glass
17513,2023-03-16 10:02:44.727872,,,159.37,159.38,370,6,Glass
132,2023-03-16 10:02:44.826809,159.37,10,,,,,Deal
17514,2023-03-16 10:02:47.054387,,,159.37,159.38,81,106,Glass
133,2023-03-16 10:02:47.222546,159.38,1,,,,,Deal
17515,2023-03-16 10:02:47.677616,,,159.37,159.38,81,104,Glass
17516,2023-03-16 10:02:48.919870,,,159.37,159.38,81,4,Glass
17517,2023-03-16 10:02:52.192463,,,159.37,159.38,111,4,Glass
17518,2023-03-16 10:02:53.104430,,,159.37,159.38,111,8,Glass
134,2023-03-16 10:02:53.700684,159.38,4,,,,,Deal
17519,2023-03-16 10:02:53.700684,,,159.37,159.38,121,4,Glass
17520,2023-03-16 10:02:55.370006,,,159.37,159.39,121,617,Glass
135,2023-03-16 10:02:55.638358,159.37,30,,,,,Deal
17521,2023-03-16 10:02:56.554139,,,159.37,159.39,61,617,Glass
136,2023-03-16 10:02:56.554139,159.37,10,,,,,Deal
137,2023-03-16 10:02:57.438308,159.39,1,,,,,Deal
17522,2023-03-16 10:02:57.438308,,,159.37,159.39,51,616,Glass
138,2023-03-16 10:02:58.741476,159.37,10,,,,,Deal
17523,2023-03-16 10:02:58.741476,,,159.37,159.39,41,616,Glass
17524,2023-03-16 10:03:00.581707,,,159.33,159.34,700,47,Glass
139,2023-03-16 10:03:00.581707,159.33,1,,,,,Deal
17525,2023-03-16 10:03:01.475499,,,159.33,159.34,682,46,Glass
140,2023-03-16 10:03:01.475499,159.33,9,,,,,Deal
17526,2023-03-16 10:03:02.759972,,,159.33,159.34,682,44,Glass
141,2023-03-16 10:03:02.759972,159.34,1,,,,,Deal
17527,2023-03-16 10:03:03.689276,,,159.33,159.34,682,43,Glass
142,2023-03-16 10:03:03.689276,159.34,1,,,,,Deal
143,2023-03-16 10:03:04.891395,159.34,1,,,,,Deal
17528,2023-03-16 10:03:04.891395,,,159.33,159.34,682,42,Glass
17529,2023-03-16 10:03:06.087503,,,159.33,159.34,682,31,Glass
144,2023-03-16 10:03:06.087503,159.34,10,,,,,Deal
17530,2023-03-16 10:03:06.722729,,,159.33,159.34,532,10,Glass
145,2023-03-16 10:03:06.722729,159.33,150,,,,,Deal
146,2023-03-16 10:03:08.597089,159.34,10,,,,,Deal
17531,2023-03-16 10:03:08.597089,,,159.33,159.35,531,516,Glass
17532,2023-03-16 10:03:09.252790,,,159.33,159.35,561,506,Glass
17533,2023-03-16 10:03:09.783913,,,159.34,159.35,50,556,Glass
147,2023-03-16 10:03:09.911636,159.34,15,,,,,Deal
17534,2023-03-16 10:03:10.365872,,,159.34,159.35,35,552,Glass
148,2023-03-16 10:03:10.657964,159.34,35,,,,,Deal
17535,2023-03-16 10:03:11.781585,,,159.33,159.35,225,552,Glass
149,2023-03-16 10:03:11.952691,159.35,1,,,,,Deal
17536,2023-03-16 10:03:12.699899,,,159.33,159.35,185,586,Glass
150,2023-03-16 10:03:12.699899,159.33,40,,,,,Deal
17537,2023-03-16 10:03:13.612999,,,159.33,159.35,175,584,Glass
151,2023-03-16 10:03:13.612999,159.35,1,,,,,Deal
17538,2023-03-16 10:03:14.295271,,,159.33,159.35,175,579,Glass
152,2023-03-16 10:03:14.295271,159.35,5,,,,,Deal
17539,2023-03-16 10:03:15.016793,,,159.34,159.35,10,578,Glass
17540,2023-03-16 10:03:16.125219,,,159.33,159.35,185,578,Glass
153,2023-03-16 10:03:16.125219,159.34,10,,,,,Deal
154,2023-03-16 10:03:16.964748,159.34,1,,,,,Deal
17541,2023-03-16 10:03:16.964748,,,159.33,159.34,183,99,Glass
17542,2023-03-16 10:03:17.884479,,,159.33,159.34,383,69,Glass
155,2023-03-16 10:03:17.884479,159.34,30,,,,,Deal
17543,2023-03-16 10:03:18.463735,,,159.33,159.34,382,69,Glass
156,2023-03-16 10:03:18.463735,159.33,1,,,,,Deal
17544,2023-03-16 10:03:19.142708,,,159.33,159.34,382,68,Glass
157,2023-03-16 10:03:19.142708,159.34,1,,,,,Deal
158,2023-03-16 10:03:20.123136,159.35,19,,,,,Deal
17545,2023-03-16 10:03:20.123136,,,159.33,159.35,382,502,Glass
17546,2023-03-16 10:03:21.458198,,,159.34,159.35,10,420,Glass
159,2023-03-16 10:03:21.458198,159.35,1,,,,,Deal
17547,2023-03-16 10:03:22.242280,,,159.33,159.34,221,191,Glass
160,2023-03-16 10:03:22.369466,159.33,1,,,,,Deal
161,2023-03-16 10:03:23.793342,159.34,1,,,,,Deal
17548,2023-03-16 10:03:23.793342,,,159.33,159.34,181,190,Glass
162,2023-03-16 10:03:24.440879,159.34,1,,,,,Deal
17549,2023-03-16 10:03:24.440879,,,159.33,159.34,181,189,Glass
163,2023-03-16 10:03:25.021500,159.34,1,,,,,Deal
17550,2023-03-16 10:03:25.021500,,,159.33,159.34,181,188,Glass
164,2023-03-16 10:03:25.889258,159.34,1,,,,,Deal
17551,2023-03-16 10:03:25.889258,,,159.33,159.34,181,180,Glass
165,2023-03-16 10:03:26.969706,159.34,1,,,,,Deal
17552,2023-03-16 10:03:26.969706,,,159.33,159.34,171,179,Glass
166,2023-03-16 10:03:28.192739,159.34,75,,,,,Deal
17553,2023-03-16 10:03:28.192739,,,159.33,159.34,171,104,Glass
17554,2023-03-16 10:03:29.669080,,,159.34,159.35,351,705,Glass
167,2023-03-16 10:03:29.989188,159.35,2,,,,,Deal
17555,2023-03-16 10:03:30.672638,,,159.34,159.35,851,703,Glass
168,2023-03-16 10:03:31.220096,159.35,1,,,,,Deal
17556,2023-03-16 10:03:31.220096,,,159.34,159.35,851,702,Glass
169,2023-03-16 10:03:32.170474,159.35,2,,,,,Deal
17557,2023-03-16 10:03:32.170474,,,159.34,159.35,851,700,Glass
17558,2023-03-16 10:03:33.283798,,,159.34,159.35,851,695,Glass
170,2023-03-16 10:03:33.283798,159.35,5,,,,,Deal
17559,2023-03-16 10:03:33.985500,,,159.34,159.35,854,694,Glass
171,2023-03-16 10:03:34.192587,159.35,30,,,,,Deal
17560,2023-03-16 10:03:35.659762,,,159.34,159.35,852,664,Glass
172,2023-03-16 10:03:35.659762,159.34,2,,,,,Deal
17561,2023-03-16 10:03:37.054993,,,159.34,159.35,852,663,Glass
173,2023-03-16 10:03:37.054993,159.35,1,,,,,Deal
174,2023-03-16 10:03:38.537792,159.35,3,,,,,Deal
17562,2023-03-16 10:03:38.537792,,,159.34,159.35,852,654,Glass
17563,2023-03-16 10:03:39.278685,,,159.34,159.35,730,654,Glass
175,2023-03-16 10:03:39.278685,159.34,122,,,,,Deal
17564,2023-03-16 10:03:40.243447,,,159.34,159.35,730,613,Glass
176,2023-03-16 10:03:40.243447,159.35,11,,,,,Deal
